date,season,regular_season,playoff,superbowl,Opponent,Packers Win,packers_score,opponent_score,location
1921-10-23,1921,1,0,,Minneapolis Red Jackets,WIN,7,6,HOME
1921-10-30,1921,1,0,,Rock Island Independents,LOSS,3,13,HOME
1921-11-06,1921,1,0,,Evansville Crimson Giants,WIN,43,6,HOME
1921-11-13,1921,1,0,,Hammond Pros,WIN,14,7,HOME
1921-11-20,1921,1,0,,Arizona Cardinals,TIE,3,3,AWAY
1921-11-27,1921,1,0,,Chicago Bears,LOSS,0,20,AWAY
1922-10-01,1922,1,0,,Rock Island Independents,LOSS,14,19,AWAY
1922-10-08,1922,1,0,,Racine Tornadoes,LOSS,6,10,HOME
1922-10-15,1922,1,0,,Arizona Cardinals,LOSS,3,16,AWAY
1922-10-22,1922,1,0,,Milwaukee Badgers,TIE,0,0,AWAY
1922-10-29,1922,1,0,,Rock Island Independents,TIE,0,0,HOME
1922-11-05,1922,1,0,,Columbus Tigers,WIN,3,0,HOME
1922-11-12,1922,1,0,,Minneapolis Red Jackets,WIN,14,6,HOME
1922-11-19,1922,1,0,,Racine Tornadoes,TIE,3,3,AWAY
1922-11-26,1922,1,0,,Milwaukee Badgers,WIN,13,0,HOME
1922-12-03,1922,1,0,,Racine Tornadoes,WIN,14,0,AWAY
1923-09-30,1923,1,0,,Minneapolis Red Jackets,WIN,12,0,HOME
1923-10-07,1923,1,0,,St. Louis All-Stars,TIE,0,0,HOME
1923-10-14,1923,1,0,,Chicago Bears,LOSS,0,3,HOME
1923-10-21,1923,1,0,,Milwaukee Badgers,WIN,12,0,HOME
1923-10-28,1923,1,0,,Racine Tornadoes,LOSS,3,24,HOME
1923-11-04,1923,1,0,,St. Louis All-Stars,WIN,3,0,AWAY
1923-11-11,1923,1,0,,Racine Tornadoes,WIN,16,0,AWAY
1923-11-18,1923,1,0,,Milwaukee Badgers,WIN,10,7,AWAY
1923-11-25,1923,1,0,,Newark Tornadoes,WIN,10,0,HOME
1923-11-29,1923,1,0,,Hammond Pros,WIN,19,0,HOME
1924-09-28,1924,1,0,,Newark Tornadoes,LOSS,3,6,AWAY
1924-10-05,1924,1,0,,Arizona Cardinals,LOSS,0,3,AWAY
1924-10-12,1924,1,0,,Kansas City Cowboys,WIN,16,0,HOME
1924-10-19,1924,1,0,,Milwaukee Badgers,WIN,17,0,HOME
1924-10-26,1924,1,0,,Minneapolis Red Jackets,WIN,19,0,HOME
1924-11-02,1924,1,0,,Racine Tornadoes,WIN,6,3,HOME
1924-11-09,1924,1,0,,Newark Tornadoes,WIN,13,0,HOME
1924-11-16,1924,1,0,,Milwaukee Badgers,WIN,17,10,AWAY
1924-11-23,1924,1,0,,Chicago Bears,LOSS,0,3,AWAY
1924-11-27,1924,1,0,,Kansas City Cowboys,WIN,17,6,AWAY
1924-11-30,1924,1,0,,Racine Tornadoes,LOSS,0,7,AWAY
1925-09-20,1925,1,0,,Hammond Pros,WIN,14,0,HOME
1925-09-27,1925,1,0,,Chicago Bears,WIN,14,10,HOME
1925-10-04,1925,1,0,,Rock Island Independents,LOSS,0,3,AWAY
1925-10-11,1925,1,0,,Milwaukee Badgers,WIN,31,0,HOME
1925-10-18,1925,1,0,,Rock Island Independents,WIN,20,0,HOME
1925-10-25,1925,1,0,,Rochester Jeffersons,WIN,33,13,HOME
1925-11-01,1925,1,0,,Milwaukee Badgers,WIN,6,0,AWAY
1925-11-08,1925,1,0,,Arizona Cardinals,LOSS,6,9,AWAY
1925-11-15,1925,1,0,,Dayton Triangles,WIN,7,0,HOME
1925-11-22,1925,1,0,,Chicago Bears,LOSS,0,21,AWAY
1925-11-26,1925,1,0,,Boston Bulldogs,LOSS,0,31,AWAY
1925-11-28,1925,1,0,,Franford Yellow Jackets,LOSS,7,13,AWAY
1925-12-06,1925,1,0,,Providence Steam Roller,WIN,13,10,AWAY
1926-09-19,1926,1,0,,Detroit Panthers,WIN,21,0,HOME
1926-09-26,1926,1,0,,Chicago Bears,TIE,6,6,HOME
1926-10-03,1926,1,0,,Newark Tornadoes,TIE,0,0,HOME
1926-10-10,1926,1,0,,Arizona Cardinals,LOSS,7,13,HOME
1926-10-17,1926,1,0,,Milwaukee Badgers,WIN,7,0,HOME
1926-10-24,1926,1,0,,Racine Tornadoes,WIN,35,0,HOME
1926-10-31,1926,1,0,,Arizona Cardinals,WIN,3,0,AWAY
1926-11-07,1926,1,0,,Milwaukee Badgers,WIN,21,0,AWAY
1926-11-14,1926,1,0,,Louisville Colonels,WIN,14,0,HOME
1926-11-21,1926,1,0,,Chicago Bears,LOSS,13,19,AWAY
1926-11-25,1926,1,0,,Franford Yellow Jackets,LOSS,14,20,AWAY
1926-11-28,1926,1,0,,Detroit Panthers,WIN,7,0,AWAY
1926-12-19,1926,1,0,,Chicago Bears,TIE,3,3,HOME
1927-09-18,1927,1,0,,Dayton Triangles,WIN,14,0,HOME
1927-09-25,1927,1,0,,Cleveland Bulldogs,WIN,12,7,HOME
1927-10-02,1927,1,0,,Chicago Bears,LOSS,6,7,HOME
1927-10-09,1927,1,0,,Newark Tornadoes,WIN,20,0,HOME
1927-10-16,1927,1,0,,Arizona Cardinals,WIN,13,0,HOME
1927-10-23,1927,1,0,,Staten Island Stapletons,WIN,13,0,HOME
1927-11-06,1927,1,0,,Arizona Cardinals,TIE,6,6,AWAY
1927-11-13,1927,1,0,,Dayton Triangles,WIN,6,0,HOME
1927-11-20,1927,1,0,,Chicago Bears,LOSS,6,14,AWAY
1927-11-24,1927,1,0,,Franford Yellow Jackets,WIN,17,9,AWAY
1928-09-23,1928,1,0,,Franford Yellow Jackets,LOSS,9,19,HOME
1928-09-30,1928,1,0,,Chicago Bears,TIE,12,12,HOME
1928-10-07,1928,1,0,,New York Giants,LOSS,0,6,HOME
1928-10-14,1928,1,0,,Arizona Cardinals,WIN,20,0,HOME
1928-10-21,1928,1,0,,Chicago Bears,WIN,16,6,AWAY
1928-10-28,1928,1,0,,Dayton Triangles,WIN,17,0,HOME
1928-11-04,1928,1,0,,Boston Bulldogs,WIN,26,14,AWAY
1928-11-11,1928,1,0,,Staten Island Stapletons,TIE,0,0,HOME
1928-11-18,1928,1,0,,New York Giants,WIN,7,0,AWAY
1928-11-25,1928,1,0,,Boston Bulldogs,LOSS,0,26,AWAY
1928-11-29,1928,1,0,,Franford Yellow Jackets,LOSS,0,2,AWAY
1928-12-02,1928,1,0,,Providence Steam Roller,TIE,7,7,AWAY
1928-12-09,1928,1,0,,Chicago Bears,WIN,6,0,AWAY
1929-09-22,1929,1,0,,Dayton Triangles,WIN,9,0,HOME
1929-09-29,1929,1,0,,Chicago Bears,WIN,23,0,HOME
1929-10-06,1929,1,0,,Arizona Cardinals,WIN,9,2,HOME
1929-10-13,1929,1,0,,Franford Yellow Jackets,WIN,14,2,HOME
1929-10-20,1929,1,0,,Minneapolis Red Jackets,WIN,24,0,HOME
1929-10-27,1929,1,0,,Arizona Cardinals,WIN,7,6,AWAY
1929-11-03,1929,1,0,,Minneapolis Red Jackets,WIN,16,6,AWAY
1929-11-10,1929,1,0,,Chicago Bears,WIN,14,0,AWAY
1929-11-17,1929,1,0,,Arizona Cardinals,WIN,12,0,AWAY
1929-11-24,1929,1,0,,New York Giants,WIN,20,6,AWAY
1929-11-28,1929,1,0,,Franford Yellow Jackets,TIE,0,0,HOME
1929-12-01,1929,1,0,,Providence Steam Roller,WIN,25,0,AWAY
1929-12-08,1929,1,0,,Chicago Bears,WIN,25,0,AWAY
1930-09-21,1930,1,0,,Arizona Cardinals,WIN,14,0,HOME
1930-09-28,1930,1,0,,Chicago Bears,WIN,7,0,HOME
1930-10-05,1930,1,0,,New York Giants,WIN,14,7,HOME
1930-10-12,1930,1,0,,Franford Yellow Jackets,WIN,27,12,HOME
1930-10-19,1930,1,0,,Minneapolis Red Jackets,WIN,13,0,AWAY
1930-10-26,1930,1,0,,Minneapolis Red Jackets,WIN,19,0,HOME
1930-11-02,1930,1,0,,Detroit Lions,WIN,47,13,HOME
1930-11-09,1930,1,0,,Chicago Bears,WIN,13,12,AWAY
1930-11-16,1930,1,0,,Arizona Cardinals,LOSS,6,13,AWAY
1930-11-23,1930,1,0,,New York Giants,LOSS,6,13,AWAY
1930-11-27,1930,1,0,,Franford Yellow Jackets,WIN,25,7,HOME
1930-11-30,1930,1,0,,Staten Island Stapletons,WIN,37,7,AWAY
1930-12-07,1930,1,0,,Chicago Bears,LOSS,0,21,AWAY
1930-12-14,1930,1,0,,Detroit Lions,TIE,6,6,AWAY
1931-09-13,1931,1,0,,Cleveland Indians,WIN,26,0,HOME
1931-09-20,1931,1,0,,New York Yankees,WIN,32,6,HOME
1931-09-27,1931,1,0,,Chicago Bears,WIN,7,0,HOME
1931-10-04,1931,1,0,,New York Giants,WIN,27,7,HOME
1931-10-11,1931,1,0,,Arizona Cardinals,WIN,26,7,HOME
1931-10-18,1931,1,0,,Franford Yellow Jackets,WIN,15,0,HOME
1931-10-25,1931,1,0,,Providence Steam Roller,WIN,48,20,HOME
1931-11-01,1931,1,0,,Chicago Bears,WIN,6,2,AWAY
1931-11-08,1931,1,0,,Staten Island Stapletons,WIN,26,0,HOME
1931-11-15,1931,1,0,,Arizona Cardinals,LOSS,13,21,AWAY
1931-11-22,1931,1,0,,New York Giants,WIN,14,10,AWAY
1931-11-26,1931,1,0,,Providence Steam Roller,WIN,38,7,AWAY
1931-11-29,1931,1,0,,New York Yankees,WIN,7,0,AWAY
1931-12-06,1931,1,0,,Chicago Bears,LOSS,6,7,AWAY
1932-09-18,1932,1,0,,Arizona Cardinals,WIN,15,7,HOME
1932-09-25,1932,1,0,,Chicago Bears,TIE,0,0,HOME
1932-10-02,1932,1,0,,New York Giants,WIN,13,0,HOME
1932-10-09,1932,1,0,,Detroit Lions,WIN,15,10,HOME
1932-10-16,1932,1,0,,Chicago Bears,WIN,2,0,AWAY
1932-10-23,1932,1,0,,New York Yankees,WIN,13,0,HOME
1932-10-30,1932,1,0,,Staten Island Stapletons,WIN,26,0,HOME
1932-11-06,1932,1,0,,Arizona Cardinals,WIN,19,9,AWAY
1932-11-13,1932,1,0,,Washington Commanders,WIN,21,0,AWAY
1932-11-20,1932,1,0,,New York Giants,LOSS,0,6,AWAY
1932-11-24,1932,1,0,,New York Yankees,WIN,7,0,AWAY
1932-11-27,1932,1,0,,Staten Island Stapletons,WIN,21,3,AWAY
1932-12-04,1932,1,0,,Detroit Lions,LOSS,0,19,AWAY
1932-12-11,1932,1,0,,Chicago Bears,LOSS,0,9,AWAY
1933-09-17,1933,1,0,,Washington Commanders,TIE,7,7,HOME
1933-09-24,1933,1,0,,Chicago Bears,LOSS,7,14,HOME
1933-10-01,1933,1,0,,New York Giants,LOSS,7,10,HOME
1933-10-08,1933,1,0,,Detroit Lions,WIN,17,0,HOME
1933-10-15,1933,1,0,,Pittsburgh Steelers,WIN,47,0,HOME
1933-10-22,1933,1,0,,Chicago Bears,LOSS,7,10,AWAY
1933-10-29,1933,1,0,,Philadelphia Eagles,WIN,35,9,HOME
1933-11-05,1933,1,0,,Arizona Cardinals,WIN,14,6,AWAY
1933-11-12,1933,1,0,,Detroit Lions,LOSS,0,7,AWAY
1933-11-19,1933,1,0,,Washington Commanders,LOSS,7,20,AWAY
1933-11-26,1933,1,0,,New York Giants,LOSS,6,17,AWAY
1933-12-03,1933,1,0,,Philadelphia Eagles,WIN,10,0,AWAY
1933-12-10,1933,1,0,,Chicago Bears,LOSS,6,7,AWAY
1934-09-16,1934,1,0,,Philadelphia Eagles,WIN,19,6,HOME
1934-09-23,1934,1,0,,Chicago Bears,LOSS,10,24,HOME
1934-09-30,1934,1,0,,New York Giants,WIN,20,6,HOME
1934-10-07,1934,1,0,,Detroit Lions,LOSS,0,3,HOME
1934-10-14,1934,1,0,,Cincinnati Reds,WIN,41,0,HOME
1934-10-21,1934,1,0,,Arizona Cardinals,WIN,15,0,HOME
1934-10-28,1934,1,0,,Chicago Bears,LOSS,14,27,AWAY
1934-11-04,1934,1,0,,Washington Commanders,WIN,10,0,AWAY
1934-11-11,1934,1,0,,New York Giants,LOSS,3,17,AWAY
1934-11-18,1934,1,0,,Arizona Cardinals,LOSS,0,9,HOME
1934-11-25,1934,1,0,,Detroit Lions,WIN,3,0,AWAY
1934-11-29,1934,1,0,,Arizona Cardinals,LOSS,0,6,AWAY
1934-12-02,1934,1,0,,St. Louis Gunners,WIN,21,14,AWAY
1935-09-15,1935,1,0,,Arizona Cardinals,LOSS,6,7,HOME
1935-09-22,1935,1,0,,Chicago Bears,WIN,7,0,HOME
1935-09-29,1935,1,0,,New York Giants,WIN,16,7,HOME
1935-10-06,1935,1,0,,Pittsburgh Steelers,WIN,27,0,HOME
1935-10-13,1935,1,0,,Arizona Cardinals,LOSS,0,3,AWAY
1935-10-20,1935,1,0,,Detroit Lions,WIN,13,9,HOME
1935-10-27,1935,1,0,,Chicago Bears,WIN,17,14,AWAY
1935-11-10,1935,1,0,,Detroit Lions,WIN,31,7,HOME
1935-11-17,1935,1,0,,Detroit Lions,LOSS,10,20,AWAY
1935-11-24,1935,1,0,,Pittsburgh Steelers,WIN,34,14,AWAY
1935-11-28,1935,1,0,,Arizona Cardinals,LOSS,7,9,AWAY
1935-12-08,1935,1,0,,Philadelphia Eagles,WIN,13,6,AWAY
1936-09-13,1936,1,0,,Arizona Cardinals,WIN,10,7,HOME
1936-09-20,1936,1,0,,Chicago Bears,LOSS,3,30,HOME
1936-10-04,1936,1,0,,Arizona Cardinals,WIN,24,0,HOME
1936-10-11,1936,1,0,,Washington Commanders,WIN,31,2,HOME
1936-10-18,1936,1,0,,Detroit Lions,WIN,20,18,HOME
1936-10-25,1936,1,0,,Pittsburgh Steelers,WIN,42,10,HOME
1936-11-01,1936,1,0,,Chicago Bears,WIN,21,10,AWAY
1936-11-08,1936,1,0,,Washington Commanders,WIN,7,3,AWAY
1936-11-15,1936,1,0,,New York Yankees,WIN,38,7,AWAY
1936-11-22,1936,1,0,,New York Giants,WIN,26,14,AWAY
1936-11-29,1936,1,0,,Detroit Lions,WIN,26,17,AWAY
1936-12-06,1936,1,0,,Arizona Cardinals,TIE,0,0,AWAY
1936-12-13,1936,0,1,,Washington Commanders,WIN,21,6,AWAY
1937-09-12,1937,1,0,,Arizona Cardinals,LOSS,7,14,HOME
1937-09-19,1937,1,0,,Chicago Bears,LOSS,2,14,HOME
1937-10-03,1937,1,0,,Detroit Lions,WIN,26,6,HOME
1937-10-10,1937,1,0,,Arizona Cardinals,WIN,34,13,HOME
1937-10-17,1937,1,0,,Los Angeles Rams,WIN,35,10,AWAY
1937-10-24,1937,1,0,,Los Angeles Rams,WIN,35,7,HOME
1937-10-31,1937,1,0,,Detroit Lions,WIN,14,13,AWAY
1937-11-07,1937,1,0,,Chicago Bears,WIN,24,14,AWAY
1937-11-14,1937,1,0,,Philadelphia Eagles,WIN,37,7,HOME
1937-11-21,1937,1,0,,New York Giants,LOSS,0,10,AWAY
1937-11-28,1937,1,0,,Washington Commanders,LOSS,6,14,AWAY
1938-09-11,1938,1,0,,Los Angeles Rams,WIN,26,17,HOME
1938-09-18,1938,1,0,,Chicago Bears,LOSS,0,2,HOME
1938-09-25,1938,1,0,,Arizona Cardinals,WIN,28,7,HOME
1938-09-28,1938,1,0,,Arizona Cardinals,WIN,24,22,AWAY
1938-10-09,1938,1,0,,Detroit Lions,LOSS,7,17,HOME
1938-10-16,1938,1,0,,New York Yankees,WIN,35,7,HOME
1938-10-23,1938,1,0,,Pittsburgh Steelers,WIN,20,0,HOME
1938-10-30,1938,1,0,,Los Angeles Rams,WIN,28,7,AWAY
1938-11-06,1938,1,0,,Chicago Bears,WIN,24,17,AWAY
1938-11-13,1938,1,0,,Detroit Lions,WIN,28,7,AWAY
1938-11-20,1938,1,0,,New York Giants,LOSS,3,15,AWAY
1938-12-11,1938,0,1,,New York Giants,LOSS,17,23,AWAY
1939-09-17,1939,1,0,,Arizona Cardinals,WIN,14,10,HOME
1939-09-24,1939,1,0,,Chicago Bears,WIN,21,16,HOME
1939-10-01,1939,1,0,,Los Angeles Rams,LOSS,24,27,HOME
1939-10-08,1939,1,0,,Arizona Cardinals,WIN,27,20,HOME
1939-10-22,1939,1,0,,Detroit Lions,WIN,26,7,HOME
1939-10-29,1939,1,0,,Washington Commanders,WIN,24,14,HOME
1939-11-05,1939,1,0,,Chicago Bears,LOSS,27,30,AWAY
1939-11-12,1939,1,0,,Philadelphia Eagles,WIN,23,16,AWAY
1939-11-19,1939,1,0,,New York Yankees,WIN,28,0,AWAY
1939-11-26,1939,1,0,,Los Angeles Rams,WIN,7,6,AWAY
1939-12-03,1939,1,0,,Detroit Lions,WIN,12,7,AWAY
1939-12-10,1939,0,1,,New York Giants,WIN,27,0,HOME
1940-09-15,1940,1,0,,Philadelphia Eagles,WIN,27,20,HOME
1940-09-22,1940,1,0,,Chicago Bears,LOSS,10,41,HOME
1940-09-29,1940,1,0,,Arizona Cardinals,WIN,31,6,HOME
1940-10-13,1940,1,0,,Los Angeles Rams,WIN,31,14,HOME
1940-10-20,1940,1,0,,Detroit Lions,LOSS,14,23,HOME
1940-10-27,1940,1,0,,Pittsburgh Steelers,WIN,24,3,HOME
1940-11-03,1940,1,0,,Chicago Bears,LOSS,7,14,AWAY
1940-11-10,1940,1,0,,Arizona Cardinals,WIN,28,7,AWAY
1940-11-17,1940,1,0,,New York Giants,LOSS,3,7,AWAY
1940-11-24,1940,1,0,,Detroit Lions,WIN,50,7,AWAY
1940-12-01,1940,1,0,,Los Angeles Rams,TIE,13,13,AWAY
1941-09-14,1941,1,0,,Detroit Lions,WIN,23,0,HOME
1941-09-21,1941,1,0,,Los Angeles Rams,WIN,24,7,HOME
1941-09-28,1941,1,0,,Chicago Bears,LOSS,17,25,HOME
1941-10-05,1941,1,0,,Arizona Cardinals,WIN,14,13,HOME
1941-10-12,1941,1,0,,New York Yankees,WIN,30,7,HOME
1941-10-19,1941,1,0,,Los Angeles Rams,WIN,17,14,AWAY
1941-10-26,1941,1,0,,Detroit Lions,WIN,24,7,AWAY
1941-11-02,1941,1,0,,Chicago Bears,WIN,16,14,AWAY
1941-11-16,1941,1,0,,Arizona Cardinals,WIN,17,9,HOME
1941-11-23,1941,1,0,,Pittsburgh Steelers,WIN,54,7,AWAY
1941-11-30,1941,1,0,,Washington Commanders,WIN,22,17,AWAY
1941-12-14,1941,0,1,,Chicago Bears,LOSS,14,33,AWAY
1942-09-27,1942,1,0,,Chicago Bears,LOSS,28,44,HOME
1942-10-04,1942,1,0,,Arizona Cardinals,WIN,17,13,AWAY
1942-10-11,1942,1,0,,Detroit Lions,WIN,38,7,HOME
1942-10-18,1942,1,0,,Los Angeles Rams,WIN,45,28,HOME
1942-10-25,1942,1,0,,Detroit Lions,WIN,28,7,AWAY
1942-11-01,1942,1,0,,Arizona Cardinals,WIN,55,24,HOME
1942-11-08,1942,1,0,,Los Angeles Rams,WIN,30,12,AWAY
1942-11-15,1942,1,0,,Chicago Bears,LOSS,7,38,AWAY
1942-11-22,1942,1,0,,New York Giants,TIE,21,21,AWAY
1942-11-29,1942,1,0,,Philadelphia Eagles,WIN,7,0,AWAY
1942-12-06,1942,1,0,,Pittsburgh Steelers,WIN,24,21,HOME
1943-09-26,1943,1,0,,Chicago Bears,TIE,21,21,HOME
1943-10-03,1943,1,0,,Arizona Cardinals,WIN,28,7,AWAY
1943-10-10,1943,1,0,,Detroit Lions,WIN,35,14,HOME
1943-10-17,1943,1,0,,Washington Commanders,LOSS,7,33,HOME
1943-10-24,1943,1,0,,Detroit Lions,WIN,27,6,AWAY
1943-10-31,1943,1,0,,New York Giants,WIN,35,21,AWAY
1943-11-07,1943,1,0,,Chicago Bears,LOSS,7,21,AWAY
1943-11-14,1943,1,0,,Arizona Cardinals,WIN,35,14,HOME
1943-11-21,1943,1,0,,New York Yankees,WIN,31,7,AWAY
1943-12-05,1943,1,0,,Phil-Pitt Combine,WIN,38,28,AWAY
1944-09-17,1944,1,0,,New York Yankees,WIN,14,7,HOME
1944-09-24,1944,1,0,,Chicago Bears,WIN,42,28,HOME
1944-10-01,1944,1,0,,Detroit Lions,WIN,27,6,HOME
1944-10-08,1944,1,0,,Card-Pitt Combine,WIN,34,7,HOME
1944-10-22,1944,1,0,,Los Angeles Rams,WIN,30,21,HOME
1944-10-29,1944,1,0,,Detroit Lions,WIN,14,0,AWAY
1944-11-05,1944,1,0,,Chicago Bears,LOSS,0,21,AWAY
1944-11-12,1944,1,0,,Los Angeles Rams,WIN,42,7,AWAY
1944-11-19,1944,1,0,,New York Giants,LOSS,0,24,AWAY
1944-11-26,1944,1,0,,Card-Pitt Combine,WIN,35,20,AWAY
1944-12-17,1944,0,1,,New York Giants,WIN,14,7,AWAY
1945-09-30,1945,1,0,,Chicago Bears,WIN,31,21,HOME
1945-10-07,1945,1,0,,Detroit Lions,WIN,57,21,HOME
1945-10-14,1945,1,0,,Los Angeles Rams,LOSS,14,27,HOME
1945-10-21,1945,1,0,,Dallas Texans,WIN,38,14,HOME
1945-10-28,1945,1,0,,Arizona Cardinals,WIN,33,14,HOME
1945-11-04,1945,1,0,,Chicago Bears,LOSS,24,28,AWAY
1945-11-11,1945,1,0,,Los Angeles Rams,LOSS,7,20,AWAY
1945-11-18,1945,1,0,,Dallas Texans,WIN,28,0,AWAY
1945-11-25,1945,1,0,,New York Giants,WIN,23,14,AWAY
1945-12-02,1945,1,0,,Detroit Lions,LOSS,3,14,AWAY
1946-09-29,1946,1,0,,Chicago Bears,LOSS,7,30,HOME
1946-10-06,1946,1,0,,Los Angeles Rams,LOSS,17,21,HOME
1946-10-13,1946,1,0,,Philadelphia Eagles,WIN,19,7,AWAY
1946-10-20,1946,1,0,,Pittsburgh Steelers,WIN,17,7,HOME
1946-10-27,1946,1,0,,Detroit Lions,WIN,10,7,HOME
1946-11-03,1946,1,0,,Chicago Bears,LOSS,7,10,AWAY
1946-11-10,1946,1,0,,Arizona Cardinals,WIN,19,7,AWAY
1946-11-17,1946,1,0,,Detroit Lions,WIN,9,0,AWAY
1946-11-24,1946,1,0,,Arizona Cardinals,LOSS,6,24,HOME
1946-12-01,1946,1,0,,Washington Commanders,WIN,20,7,AWAY
1946-12-08,1946,1,0,,Los Angeles Rams,LOSS,17,38,AWAY
1947-09-28,1947,1,0,,Chicago Bears,WIN,29,20,HOME
1947-10-05,1947,1,0,,Los Angeles Rams,WIN,17,14,HOME
1947-10-12,1947,1,0,,Arizona Cardinals,LOSS,10,14,HOME
1947-10-19,1947,1,0,,Washington Commanders,WIN,27,10,HOME
